Player (ITTF ID),Position,Previous Position,Points,Month,Year
NOROOZI Afshin (106784),429,409,640,Jun,2019
MANUEL Domingos (110929),429,417,640,Jun,2019
TABACHNIK Pablo (109151),429,417,640,Jun,2019
LESIV Rimas (116840),432,358,638,Jun,2019
TAZOE Kenta (113340),433,362,637,Jun,2019
ALI Omar (110989),434,419,633,Jun,2019
SODERLUND Simon (118962),435,420,631,Jun,2019
KIM Song Gun (132883),436,421,629,Jun,2019
HMAM Adam (103621),437,422,624,Jun,2019
XIAO Zikang (123343),438,427,620,Jun,2019
UDRA Alfredas (111219),438,428,620,Jun,2019
LEE Chia-Sheng (114123),440,425,617,Jun,2019
KOVACS Sebestyen (114859),441,536,610,Jun,2019
NAUMI Alex (120674),442,352,601,Jun,2019
BERTRAND Irvin (119092),443,315,600,Jun,2019
BRODD Viktor (112073),443,430,600,Jun,2019
JIMENEZ Ricardo (115232),445,431,594,Jun,2019
MICHELY Gilles (106095),446,432,590,Jun,2019
PANDE Siddhesh (123221),446,622,590,Jun,2019
KOLAREK Tomislav (104774),446,655,590,Jun,2019
SUN Zheng (136587),449,433,586,Jun,2019
ZHU Shusheng (136615),449,433,586,Jun,2019
SINGEORZAN Bogdan (120093),451,586,583,Jun,2019
KEINATH Thomas (104462),452,495,582,Jun,2019
TESHABOEV Kutbidillo (115060),453,438,580,Jun,2019
KUBIK Maciej (131671),454,503,576,Jun,2019
GREBNEV Maksim (123931),454,504,576,Jun,2019
SILVA Andre (108667),456,572,575,Jun,2019
YEH Chih-Wei (112599),456,808,575,Jun,2019
ALBALUSHI Salah (118108),458,440,570,Jun,2019
MACHI Asuka (111826),459,,565,Jun,2019
NGUYEN Van Ngoc (123494),460,441,563,Jun,2019
FRANKLIN Christopher (102827),461,444,556,Jun,2019
YEFIMOV Viktor (110367),461,475,556,Jun,2019
DARCIS Thibaut (119037),463,477,551,Jun,2019
NIU Guankai (134239),464,439,550,Jun,2019
HERNOV Konstantin (115048),465,442,548,Jun,2019
BIZAKU Jonathan (112889),466,446,545,Jun,2019
ANGELAKIS Konstantinos (116675),467,448,541,Jun,2019
HOI Inhyeok (132171),468,303,540,Jun,2019
ANDERSSON Harald (112738),468,449,540,Jun,2019
AUBRY Ronan (132167),468,450,540,Jun,2019
VILCHEZ Miguel (116213),471,587,536,Jun,2019
SIMON Mathan (116839),472,453,533,Jun,2019
ZHAMAL Bekulan (117893),472,484,533,Jun,2019
SADAMATSU Yusuke (131365),474,454,530,Jun,2019
SPANIK Tibor (120284),474,530,530,Jun,2019
BRITTON Shemar (122503),476,456,526,Jun,2019
ASSIN Alexandre (117003),477,277,525,Jun,2019
NAYRE Jann Mari (123864),477,457,525,Jun,2019
MOSANGSINH Sonpasith (132869),477,458,525,Jun,2019
QURESHI Asim (107635),477,458,525,Jun,2019
OUAICHE Stephane (113685),481,749,520,Jun,2019
HAUG Borgar (131211),482,374,513,Jun,2019
QIU Liang (114928),483,496,511,Jun,2019
XU Haidong (133893),484,454,510,Jun,2019
SHUSTERMAN Yonatan (123948),484,462,510,Jun,2019
BAUM Patrick (100982),484,463,510,Jun,2019
DIAW Ibrahima (113681),484,,510,Jun,2019
KLOS Patrik (120265),488,464,508,Jun,2019
DEGROS Nicolas (131376),489,500,505,Jun,2019
FRIEDRICH Christian (121857),490,572,500,Jun,2019
ADEYINKA Hammed (114704),491,466,496,Jun,2019
DOWELL Mark (102367),492,467,493,Jun,2019
SMITH Marcus (121741),492,467,493,Jun,2019
GRININGER Thomas (118665),492,569,493,Jun,2019
MONTUFAR Kevin (112713),495,400,488,Jun,2019
GONZALEZ Yomar (116421),496,472,483,Jun,2019
YIANGOU Marios (110768),497,476,470,Jun,2019
TSUBOI Yuma (120851),497,579,470,Jun,2019
BORO Birdie (119536),497,756,470,Jun,2019
PIERAERT Valentin (121025),500,542,468,Jun,2019
RANASINGHA Imesh (117903),501,478,465,Jun,2019
SIRISENA Rohan (108728),501,479,465,Jun,2019
LIU Victor (122426),503,480,463,Jun,2019
NIKULIN Ivan (120602),504,786,458,Jun,2019
BLAS Bryan (101168),505,481,453,Jun,2019
NAVAS Marco (106600),506,482,450,Jun,2019
