Country,Player (ITTF ID),Position,Previous Position,Points,Month,Year
NIGERIA,JAMIU Azeez Olugbenga (104033),337,330,916,Jun,2019
BOLIVIA,LIZARAZU Eduardo (123807),338,331,910,Jun,2019
BELGIUM,DEVOS Laurens (122001),339,365,903,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,RI Jong Sik ^^ (132881),340,406,901,Jun,2019
JAPAN,TAKAKIWA Taku (109188),341,334,900,Jun,2019
ANGOLA,ANDRE Elizandro (117937),341,334,900,Jun,2019
CONGO DEMOCRATIC,DINGANGA Chris (110856),341,334,900,Jun,2019
TOGO,ALASSANI Soudes (124064),341,334,900,Jun,2019
MADAGASCAR,RAZAFINDRALAMBO Zo (117019),341,334,900,Jun,2019
COTE D'IVOIRE,KOUASSI Ange-Aime (113473),341,334,900,Jun,2019
ERITREA,JOEL Mikael (137433),341,334,900,Jun,2019
CONGO DEMOCRATIC,KASSA Gedeon (116724),341,334,900,Jun,2019
ANGOLA,ANTONIO Alessio (120713),341,334,900,Jun,2019
PARAGUAY,IBANEZ Italo (103831),341,334,900,Jun,2019
MAURITIUS,BABOOLALL Muhammad (131822),341,334,900,Jun,2019
SWITZERLAND,TSCHANZ Cedric (133020),352,345,893,Jun,2019
MAURITIUS,ARNACHELLUM Allan (110924),352,346,893,Jun,2019
REPUBLIC OF KOREA,HOI Deokhwa (114614),354,413,892,Jun,2019
UNITED STATES OF AMERICA,TIAN Ye ^^ (132616),355,648,875,Jun,2019
MAURITIUS,YOGARAJAH Akhilen (122207),356,349,870,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,KIM Hyong Jin (132239),357,350,867,Jun,2019
THAILAND,PASSARA Pattaratorn (122327),358,299,855,Jun,2019
NIGERIA,AKINDIYA Ismaila (123373),359,375,851,Jun,2019
LITHUANIA,STANKEVICIUS Medardas (116841),360,364,850,Jun,2019
CHINA,AO Wei (132137),361,354,829,Jun,2019
BARBADOS,KNIGHT Tyrese (121740),362,355,824,Jun,2019
VIETNAM,NGUYEN Duc Tuan (134912),363,356,823,Jun,2019
CHINA,XU Yingbin (131148),364,357,820,Jun,2019
FRANCE,ROLLAND Jules (123300),365,447,818,Jun,2019
ITALY,RECH DALDOSSO Marco (107762),366,373,810,Jun,2019
GERMANY,HOHMEIER Nils (118672),366,471,810,Jun,2019
EGYPT,HELMY Mahmoud (116831),368,410,804,Jun,2019
HONG KONG,LI Hon Ming (115548),369,332,798,Jun,2019
YEMEN,GUBRAN Ebrahim Abdulhakim (135910),370,359,795,Jun,2019
RUSSIA,FEDOTOV Petr (119205),371,423,793,Jun,2019
ENGLAND,BAGGALEY Andrew (100817),372,398,790,Jun,2019
SINGAPORE,PANG Yew En Koen (131912),373,302,785,Jun,2019
NIGERIA,KAZEEM Makanjuola (116826),373,360,785,Jun,2019
CHINA,XUE Fei (121412),375,242,777,Jun,2019
ITALY,PINTO Daniele (118920),376,423,773,Jun,2019
REPUBLIC OF KOREA,HO Daeseong (123971),377,233,767,Jun,2019
CHINESE TAIPEI,YANG Tzu-Yi (121588),378,317,765,Jun,2019
MONGOLIA,HINBAT Erdenebayar (131982),379,366,753,Jun,2019
MAURITIUS,HAN YOOK FO Brian (102789),380,367,748,Jun,2019
JAPAN,TAHARA Shogo (137458),381,591,741,Jun,2019
SAUDI ARABIA,AL-ABBAD Abdulaziz (100234),382,368,736,Jun,2019
RUSSIA,ARTEMENKO Nikita (119199),382,473,736,Jun,2019
IRAN,HODAEI Amir Hossein (131484),384,399,735,Jun,2019
JORDAN,ABO YAMAN Zaid (110674),385,371,730,Jun,2019
MAURITIUS,PONTOISE Jason (132955),386,372,728,Jun,2019
DJIBOUTI,DJAMAL Ahmed (123784),387,375,721,Jun,2019
MALAYSIA,HOONG Javen (131932),388,378,720,Jun,2019
